Numero;ID;Nombre;Calorias;Proteinas;Carbohidratos;Grasas;TipoMedida;CreadoEn
48;"6e008fba-1724-428d-3025-b9df5410b573";"Hummus de garbanzo";170;5;14;10;"g";"2026-05-27T17:17:05.809Z"
49;"d7dc656b-cbce-09ed-dc46-aa135107a75f";"Tofu firme";76;8;1.9;4.8;"g";"2026-05-27T17:17:05.809Z"
50;"b0451572-0e35-3f2d-b555-5531ee4cfbe9";"Edamame al vapor";120;11;9;5;"g";"2026-05-27T17:17:05.809Z"
51;"baa679fd-df17-8e9c-3ff7-24e9630ce55b";"Aguacate (Guacamole)";160;2;9;15;"g";"2026-05-27T17:17:05.809Z"
52;"e88ffff2-66f0-6e1c-50dd-44f0310fd2e5";"Aceite de oliva virgen extra";884;0;0;100;"g";"2026-05-27T17:17:05.809Z"
53;"a3081ab2-a7e9-a144-3c79-a4d1171d8a6e";"Crema de cacahuete o almendras";588;25;20;50;"g";"2026-05-27T17:17:05.809Z"
54;"40783acb-bf14-7dd1-1009-f55606de1858";"Nueces";654;15;14;65;"g";"2026-05-27T17:17:05.809Z"
55;"579392ae-b915-3afa-a71f-b96653030d6e";"Almendras naturales";579;21;22;49;"g";"2026-05-27T17:17:05.809Z"
56;"63fe3e48-3eb2-9142-33d0-eeb47d9f881f";"Pistachos o Anacardos";560;19;29;44.5;"g";"2026-05-27T17:17:05.809Z"
57;"84955004-dfaf-7a75-1b45-5c8a342cf8fa";"Semillas (Chía, Lino, Calabaza)";530;19;30;43;"g";"2026-05-27T17:17:05.809Z"
58;"e0e06e9b-adec-befa-9abe-f091fa05b23e";"Manzana";52;0.3;14;0.2;"unit";"2026-05-27T17:17:05.809Z"
59;"372a3ddb-be7a-4c09-3ca3-33614f28a870";"Arándanos frescos";57;0.7;14;0.3;"g";"2026-05-27T17:17:05.809Z"
60;"3ea257d8-c7e7-344e-580b-9ece8a3d58d8";"Fresas";32;0.7;7.7;0.3;"g";"2026-05-27T17:17:05.809Z"
61;"defabee1-86eb-f1d9-17eb-9eb21160275c";"Kiwi";61;1.1;15;0.5;"unit";"2026-05-27T17:17:05.809Z"
62;"8e17dbf8-cb90-8e32-d2bd-42df25bfcd0f";"Mango";60;0.8;15;0.4;"g";"2026-05-27T17:17:05.809Z"
63;"87b3009b-bb40-3998-cc3e-2dada5f1f7de";"Frambuesas";52;1.2;12;0.7;"g";"2026-05-27T17:17:05.809Z"
64;"dbc75225-45f1-a93f-4700-c2446231e0a2";"Pera";57;0.4;15;0.1;"unit";"2026-05-27T17:17:05.809Z"
65;"cfb76774-7c00-44af-4ed3-2869910debd1";"Piña natural";50;0.5;13;0.1;"g";"2026-05-27T17:17:05.809Z"
66;"85ff64a8-1a77-a2b9-8455-f1afd1867d13";"Melocotón";39;0.9;9.5;0.3;"unit";"2026-05-27T17:17:05.809Z"
67;"21242a5c-0ef6-f4e1-b348-98692cc1f799";"Papaya";43;0.5;11;0.3;"g";"2026-05-27T17:17:05.809Z"
68;"b81b4c09-d098-12e0-80c2-a6040110974b";"Higos frescos";74;0.8;19;0.3;"g";"2026-05-27T17:17:05.809Z"
69;"e0f24a8c-ae3f-865f-89ef-9c95ff820dc2";"Uvas rojas";67;0.6;17;0.4;"g";"2026-05-27T17:17:05.809Z"
70;"fe29db61-ed9e-0673-1fc3-a89ee1b431a7";"Mandarina";53;0.8;13;0.3;"unit";"2026-05-27T17:17:05.809Z"
71;"e0bb30c2-5b58-f6a7-bd2e-51d6ba6a42d7";"Miel de abejas";304;0.3;82;0;"g";"2026-05-27T17:17:05.809Z"
72;"bbf4dabf-4d25-5196-cde7-e2ae08c06cc6";"Dátil";282;2.5;75;0.4;"unit";"2026-05-27T17:17:05.809Z"
73;"801d5a1a-8de1-7609-3872-525405f6f62d";"Cacao puro en polvo";228;20;58;14;"g";"2026-05-27T17:17:05.809Z"
74;"8af8946f-9cee-65fd-67f1-f9b63e1ff151";"Sirope de ágave";310;0;78;0;"g";"2026-05-27T17:17:05.809Z"
75;"23d94770-f4af-4b1d-5cb4-1625d71c6f36";"Salsa Pesto";529;5.2;6;53;"g";"2026-05-27T17:17:05.809Z"
76;"6c89cb31-6038-d669-1cf6-423b70a560f1";"Salsa de yogur light";80;3.5;7;4;"g";"2026-05-27T17:17:05.809Z"
77;"959bb1b4-226b-9c79-7130-5d024d15140f";"Fruta contable";70;0.8;16;0.3;"unit";"2026-05-27T17:17:05.809Z"
78;"57cfd51c-543b-3dc3-b023-988e7a64355f";"Fruta incontable";50;0.7;11;0.2;"g";"2026-05-27T17:17:05.809Z"
79;"3570aed8-667a-b8e0-b5f0-93f3041f69eb";"Pollo (Pechuga, Desmechado, Crudo)";120;23;0;2.5;"g";"2026-05-24T10:15:39.840Z"
80;"16c94c2e-1447-3bd9-5d68-36216fcb9240";"Pavo (Pechuga, Fiambre, Solomillo)";105;22;0;1.5;"g";"2026-05-24T10:15:39.840Z"
81;"db81818e-480a-cc05-832c-e25308e92d27";"Salmón (Fresco o Ahumado)";180;20;0;11;"g";"2026-05-24T10:15:39.840Z"
82;"70a82166-59b4-0175-920e-9e68702afb1e";"Atún al natural";116;26;0;1;"g";"2026-05-24T10:15:39.840Z"
83;"016037ec-580e-0a9f-3753-e4661ca3f890";"Ternera magra";150;21;0;5;"g";"2026-05-24T10:15:39.840Z"
84;"84117706-b162-13f7-2949-4652d05b22a6";"Pescado blanco (Merluza, Lubina)";80;18;0;1;"g";"2026-05-24T10:15:39.840Z"
85;"ac4770b8-0fa3-50ab-f124-c21fe55b8a29";"Gambas cocidas";85;20;0.5;0.8;"g";"2026-05-24T10:15:39.840Z"
86;"8ea1ef4e-93a5-69b3-95fa-7bca0b559c88";"Bacalao desmigado";82;18;0;0.7;"g";"2026-05-24T10:15:39.840Z"
87;"4b3e311f-97ad-808f-94d0-a1e3fb18afa0";"Sepia salteada";80;16;0.7;0.9;"g";"2026-05-24T10:15:39.840Z"
88;"85c8c65d-53e8-01ed-d5b0-280bb4a26d9b";"Mejillones al vapor";86;12;3.4;2.2;"g";"2026-05-24T10:15:39.840Z"
89;"9e7fa16f-684f-976c-f39a-bf83075c48de";"Jamón serrano (Limpio)";240;30;0;13;"g";"2026-05-24T10:15:39.840Z"
90;"e7fdc5d5-1284-fec1-f7b2-9497a48556aa";"Huevo entero";155;13;1.1;11;"unit";"2026-05-24T10:15:39.840Z"
91;"dcb9e20c-6a36-0bcb-d5d8-b67ef9735986";"Claras de Huevo";52;11;0.7;0.2;"g";"2026-05-24T10:15:39.840Z"
92;"c8a58414-c471-1ab9-cba7-91c557470185";"Requesón";100;12;3;4;"g";"2026-05-24T10:15:39.840Z"
93;"0965b245-89a8-cd11-7d31-51b6ba047d90";"Queso cottage";98;11;3.4;4.3;"g";"2026-05-24T10:15:39.840Z"
94;"b52fd965-0406-d045-0120-f9b7229d415f";"Queso fresco tipo Burgos";110;11;3;6;"g";"2026-05-24T10:15:39.840Z"
95;"a1f62df3-f44f-2b26-c7fd-40639ef07ac0";"Queso batido 0%";47;8;3.5;0.1;"g";"2026-05-24T10:15:39.840Z"
96;"19142e0a-29a5-9f63-1049-a851dfb6669c";"Skyr";65;11;4;0.2;"g";"2026-05-24T10:15:39.840Z"
97;"2804f08b-fa35-9a92-ad60-61f8eb6b5a24";"Yogur griego";115;10;3;7;"unit";"2026-05-24T10:15:39.840Z"
98;"94c4fa65-491e-c834-6260-78f45835ec85";"Yogur natural";60;3.5;4.7;3.3;"g";"2026-05-24T10:15:39.840Z"
99;"2bbc5302-643b-a916-e977-d1c988a512f6";"Kéfir";60;3.5;4.8;3;"g";"2026-05-24T10:15:39.840Z"
100;"05eee4b3-ede0-92fc-d2f4-f474bd42e7b2";"Queso crema light";150;6;5;12;"g";"2026-05-24T10:15:39.840Z"
101;"21882fa0-9533-56fc-fe28-c6fcba888926";"Queso mozzarella light";200;22;2;12;"g";"2026-05-24T10:15:39.840Z"
102;"079b40a3-a76e-0166-8839-9ebc5d99a156";"Queso curado / gratinado";380;25;1.3;30;"g";"2026-05-24T10:15:39.840Z"
103;"12880e12-6e88-676a-f584-eca32bc17608";"Queso havarti (Loncha)";330;21;0.5;26;"g";"2026-05-24T10:15:39.840Z"
104;"9cde7d5a-ebad-2e5b-3fd5-5fe3d3bb75d2";"Leche desnatada";34;3.4;5;0.1;"g";"2026-05-24T10:15:39.840Z"
105;"f8886f58-4d54-378e-dde2-b3fa6fe55450";"Leche de soja";45;3.3;2.5;1.8;"g";"2026-05-24T10:15:39.840Z"
106;"f329a8d1-03de-b19f-d222-8add35a81440";"Leche de almendras / avellanas";24;0.5;3;1.1;"g";"2026-05-24T10:15:39.840Z"
107;"33989fb4-2828-4c42-261e-21cc061eb459";"Copos de avena / Harina de avena";389;16.9;66;6.9;"g";"2026-05-24T10:15:39.840Z"
108;"8bac9c17-1b84-cf0a-3eb7-6c6353018a7a";"Arroz (Blanco, Integral, Basmati, Jazmín)";350;7;78;0.5;"g";"2026-05-24T10:15:39.840Z"
109;"8f06353b-6e69-370f-0a09-e41fd54d3bf4";"Pasta integral";350;12;72;1.5;"g";"2026-05-24T10:15:39.840Z"
110;"ce486d50-07af-9633-fb10-f50a0b71eab0";"Pan integral / Centeno / Masa madre";250;9;45;2.5;"g";"2026-05-24T10:15:39.840Z"
111;"0e7bf02f-6008-6991-c4ca-555eac38f024";"Tortitas de arroz o maíz";380;8;80;3;"unit";"2026-05-24T10:15:39.840Z"
112;"4eb96044-82b2-9b54-7e25-77c294b37343";"Tortilla de trigo integral";290;8;45;6;"unit";"2026-05-24T10:15:39.840Z"
113;"be041f87-4f71-01bd-e514-9030956f4fbc";"Tortilla de maíz";220;5;45;2.5;"unit";"2026-05-24T10:15:39.840Z"
114;"5b429921-1b3f-b9d9-1d48-b73702bd6e1a";"Batata / Boniato (asado)";86;1.6;20;0.1;"g";"2026-05-24T10:15:39.840Z"
115;"169d5558-af26-bb0b-f198-34f104d037d1";"Patata (Asada, Puré, Baby)";77;2;17;0.1;"g";"2026-05-24T10:15:39.840Z"
116;"ddc0a6ec-db52-a88b-9db9-7dc4026b1591";"Quinoa cocida";370;14;64;6;"g";"2026-05-24T10:15:39.840Z"
117;"a42e2a95-e0b9-3216-465e-75451b078072";"Cuscús integral";350;12;73;1.5;"g";"2026-05-24T10:15:39.840Z"
118;"f5d10d43-91c8-0f38-79b2-9c5cf654c820";"Colines / Bastones integrales";390;11;72;5;"g";"2026-05-24T10:15:39.840Z"
119;"3a2c1b8d-754b-c002-50eb-28fd43599a35";"Granola casera";450;10;60;18;"g";"2026-05-24T10:15:39.840Z"
120;"17857483-61b7-b2bb-5ee7-9cd309cb5b06";"Arepa de maíz precocido";360;7;77;2.5;"g";"2026-05-24T10:15:39.840Z"
121;"25485399-8f03-764b-c60b-84cdd37d5304";"Garbanzos cocidos";364;19;61;6;"g";"2026-05-24T10:15:39.840Z"
122;"fb7f4587-4cab-77f6-ccc3-7b40d8d41e2a";"Lentejas cocidas";350;25;63;1;"g";"2026-05-24T10:15:39.840Z"
123;"6c0888d1-4e57-675c-c4d4-81d0cc138a5f";"Alubias blancas cocidas";330;21;60;0.8;"g";"2026-05-24T10:15:39.840Z"
124;"738407b0-3edf-c806-a62f-530742dac1b0";"Falafel horneado";250;13;30;8;"g";"2026-05-24T10:15:39.840Z"
125;"023a4999-9d5b-a09e-a3c6-fa4cce1ae03f";"Hummus de garbanzo";170;5;14;10;"g";"2026-05-24T10:15:39.840Z"
126;"ebeeca50-9a96-6221-85fd-6b563501351c";"Tofu firme";76;8;1.9;4.8;"g";"2026-05-24T10:15:39.840Z"
127;"62f91d0a-a31e-5fb9-4d61-326362280e36";"Edamame al vapor";120;11;9;5;"g";"2026-05-24T10:15:39.840Z"
128;"8b0371a0-4a0e-b754-ff8f-f107ebc9294f";"Aguacate (Guacamole)";160;2;9;15;"g";"2026-05-24T10:15:39.840Z"
129;"8bd2d147-a3e5-b218-2009-438e9d78e3c3";"Aceite de oliva virgen extra";884;0;0;100;"g";"2026-05-24T10:15:39.840Z"
130;"2f195867-19fc-03b4-6b5c-4eab3a44f80e";"Crema de cacahuete o almendras";588;25;20;50;"g";"2026-05-24T10:15:39.840Z"
131;"1f517fbf-e0e0-d466-acf8-9338b2e548f0";"Nueces";654;15;14;65;"g";"2026-05-24T10:15:39.840Z"
132;"c150c664-63c1-5021-9928-54ae20cf7461";"Almendras naturales";579;21;22;49;"g";"2026-05-24T10:15:39.840Z"
133;"83e2058a-aa16-42bf-3dc7-fcb8e55ed64f";"Pistachos o Anacardos";560;19;29;44.5;"g";"2026-05-24T10:15:39.840Z"
134;"c4461839-0dc7-a3ee-c3d6-2296fd90dbe8";"Semillas (Chía, Lino, Calabaza)";530;19;30;43;"g";"2026-05-24T10:15:39.840Z"
135;"bbf4055e-5cf9-031c-e5e1-b98f356c7603";"Plátano";89;1.1;23;0.3;"unit";"2026-05-24T10:15:39.840Z"
136;"c92a37d8-d336-8e79-1dd7-3324c6521e63";"Manzana";52;0.3;14;0.2;"unit";"2026-05-24T10:15:39.840Z"
137;"175f8842-fd8e-e6e5-bdab-e633c9813b9f";"Arándanos frescos";57;0.7;14;0.3;"g";"2026-05-24T10:15:39.840Z"
138;"60e17bbe-a79e-9315-c7a7-e04b7395db45";"Fresas";32;0.7;7.7;0.3;"g";"2026-05-24T10:15:39.840Z"
139;"dfd1ef97-8285-db52-46ed-0a1d9b464885";"Kiwi";61;1.1;15;0.5;"unit";"2026-05-24T10:15:39.840Z"
140;"772c9951-886e-673d-eb7b-57b03d6577a8";"Mango";60;0.8;15;0.4;"g";"2026-05-24T10:15:39.840Z"
141;"0cc60731-2ee9-5537-ff03-f0165660d401";"Frambuesas";52;1.2;12;0.7;"g";"2026-05-24T10:15:39.840Z"
142;"09b923da-3465-4834-16ba-260114700684";"Pera";57;0.4;15;0.1;"unit";"2026-05-24T10:15:39.840Z"
143;"62ad2415-ec44-0033-cb55-c53bf30dc35e";"Piña natural";50;0.5;13;0.1;"g";"2026-05-24T10:15:39.840Z"
144;"ffe7052a-03f1-a403-827d-3489992670dc";"Melocotón";39;0.9;9.5;0.3;"unit";"2026-05-24T10:15:39.840Z"
145;"2dcc15c9-0e39-9f44-565c-3ff0c1cf3225";"Papaya";43;0.5;11;0.3;"g";"2026-05-24T10:15:39.840Z"
146;"6527dc8e-c044-ea3f-bbd2-3710e9444933";"Higos frescos";74;0.8;19;0.3;"g";"2026-05-24T10:15:39.840Z"
147;"f12ecd42-ee87-b104-effd-50bd4294719d";"Uvas rojas";67;0.6;17;0.4;"g";"2026-05-24T10:15:39.840Z"
148;"a12991ee-0361-1f75-ddac-9d38fee28071";"Mandarina";53;0.8;13;0.3;"unit";"2026-05-24T10:15:39.840Z"
149;"05cbfa37-a8e2-9e8b-81f1-c9be73e3d3f0";"Proteína en polvo (Whey)";380;80;5;4;"g";"2026-05-24T10:15:39.840Z"
150;"52c3029b-8542-a27d-eadd-7b99dd431114";"Miel de abejas";304;0.3;82;0;"g";"2026-05-24T10:15:39.840Z"
151;"322c040f-6755-8f38-02a6-d2178ce66bf7";"Dátil";282;2.5;75;0.4;"unit";"2026-05-24T10:15:39.840Z"
152;"51ccc244-724c-03f6-5fa0-731babcee7b0";"Cacao puro en polvo";228;20;58;14;"g";"2026-05-24T10:15:39.840Z"
153;"5b5f72d6-7492-b444-3968-f10a8e8e0609";"Sirope de ágave";310;0;78;0;"g";"2026-05-24T10:15:39.840Z"
154;"0a62a9e5-298e-4155-c3f0-1127d4e9f6e8";"Salsa Pesto";529;5.2;6;53;"g";"2026-05-24T10:15:39.840Z"
155;"8ab7aab2-4b33-7c41-6cde-890be7f697b5";"Salsa de yogur light";80;3.5;7;4;"g";"2026-05-24T10:15:39.840Z"
156;"8534695f-4ad1-127b-84fc-ec2bc7b9df4e";"Fruta contable";70;0.8;16;0.3;"unit";"2026-05-24T10:15:39.840Z"
157;"f0554f5c-3ca6-e07d-5dab-20fef7633c9a";"Fruta incontable";50;0.7;11;0.2;"g";"2026-05-24T10:15:39.840Z"
158;"4f983afc-eba8-48a0-8557-dd269f8b95e6";"Proteína en Polvo ";93;20;1.5;0.8;"unit";"2026-05-24T11:28:24.010Z"
159;"7b93de0d-438b-5f53-006d-70d814e0989a";"Pollo (Pechuga, Desmechado, Crudo)";120;23;0;2.5;"g";"2026-05-27T17:10:39.801Z"
160;"cf5fe210-ec0e-7802-5065-245200e3d9fb";"Pavo (Pechuga, Fiambre, Solomillo)";105;22;0;1.5;"g";"2026-05-27T17:10:39.801Z"
161;"d4bb9e7e-eef6-6264-6764-0b4105d3ef4d";"Salmón (Fresco o Ahumado)";180;20;0;11;"g";"2026-05-27T17:10:39.801Z"
162;"11a600c3-731d-d0c0-43b3-a2bea0c5b2ba";"Atún al natural";116;26;0;1;"g";"2026-05-27T17:10:39.801Z"
163;"6a85e8ea-1a1c-addd-bca3-66c7e1dad4ab";"Ternera magra";150;21;0;5;"g";"2026-05-27T17:10:39.801Z"
164;"b8965a51-d3f0-c5a7-7193-daafa3205f4e";"Pescado blanco (Merluza, Lubina)";80;18;0;1;"g";"2026-05-27T17:10:39.801Z"
165;"1e262d41-8faf-e228-781c-de7e15d843b8";"Gambas cocidas";85;20;0.5;0.8;"g";"2026-05-27T17:10:39.801Z"
166;"95b5d661-aba3-6bc4-aca2-eac362093593";"Bacalao desmigado";82;18;0;0.7;"g";"2026-05-27T17:10:39.801Z"
167;"7d38c5cc-8ab9-4cc1-ea2f-ccfbc7147b43";"Sepia salteada";80;16;0.7;0.9;"g";"2026-05-27T17:10:39.801Z"
168;"1cb46782-55a3-b50b-90d2-863b6527fcb7";"Mejillones al vapor";86;12;3.4;2.2;"g";"2026-05-27T17:10:39.801Z"
169;"5d486afc-8e9b-995a-c08d-5f4dbf2f5e9f";"Jamón serrano (Limpio)";240;30;0;13;"g";"2026-05-27T17:10:39.801Z"
170;"f678616b-17c4-f7bf-990e-6dc955204c69";"Huevo entero";155;13;1.1;11;"unit";"2026-05-27T17:10:39.801Z"
171;"3fbd961e-0621-921b-07d8-cad251bd0e1f";"Claras de Huevo";52;11;0.7;0.2;"g";"2026-05-27T17:10:39.801Z"
172;"98c209a0-df8e-bd96-7367-c884c5fa190e";"Requesón";100;12;3;4;"g";"2026-05-27T17:10:39.801Z"
173;"bd77ec4d-37b4-2266-4f74-934c33e69b23";"Queso cottage";98;11;3.4;4.3;"g";"2026-05-27T17:10:39.801Z"
174;"5495fcde-e3b5-54d6-5cec-93c47e2cb57c";"Queso fresco tipo Burgos";110;11;3;6;"g";"2026-05-27T17:10:39.801Z"
175;"6d731ee1-313a-8e6b-1bfa-dfbef8c6907f";"Queso batido 0%";47;8;3.5;0.1;"g";"2026-05-27T17:10:39.801Z"
176;"7f22be82-128f-8bb5-22ca-07fd57be5015";"Skyr";65;11;4;0.2;"g";"2026-05-27T17:10:39.801Z"
177;"f543cc17-089c-dd97-8158-066cf7dba65d";"Yogur griego";115;10;3;7;"unit";"2026-05-27T17:10:39.801Z"
178;"13b16c6d-256d-c2d9-596c-2858209abb7b";"Yogur natural";60;3.5;4.7;3.3;"g";"2026-05-27T17:10:39.801Z"
179;"e3296d09-f74f-b6b1-0e09-d57426e3f777";"Kéfir";60;3.5;4.8;3;"g";"2026-05-27T17:10:39.801Z"
180;"66b748f0-bac1-2355-15e8-f8abc513a970";"Queso crema light";150;6;5;12;"g";"2026-05-27T17:10:39.801Z"
181;"5a142623-ca9f-beb1-96e1-eccf5d5205b7";"Queso mozzarella light";200;22;2;12;"g";"2026-05-27T17:10:39.801Z"
182;"a1754386-d8ef-c640-bfff-43aa2e2933ea";"Queso curado / gratinado";380;25;1.3;30;"g";"2026-05-27T17:10:39.801Z"
183;"6ac508ae-78c1-4369-6923-fb1edca1480a";"Queso havarti (Loncha)";330;21;0.5;26;"g";"2026-05-27T17:10:39.801Z"
184;"b1a06fb2-b6ee-e766-a93b-a9bf57308845";"Leche desnatada";34;3.4;5;0.1;"g";"2026-05-27T17:10:39.801Z"
185;"fbd11b2f-6f92-58fa-e105-411dfb9bfa50";"Leche de soja";45;3.3;2.5;1.8;"g";"2026-05-27T17:10:39.801Z"
186;"03fea647-563f-ff94-dfec-cf5d409d1f5b";"Leche de almendras / avellanas";24;0.5;3;1.1;"g";"2026-05-27T17:10:39.801Z"
187;"a9ec66a0-22bd-857d-0475-4e1bf87eec78";"Copos de avena / Harina de avena";389;16.9;66;6.9;"g";"2026-05-27T17:10:39.801Z"
188;"33744078-0208-a9dd-f269-29ec491cf5cc";"Arroz (Blanco, Integral, Basmati, Jazmín)";350;7;78;0.5;"g";"2026-05-27T17:10:39.801Z"
189;"b804d8cb-8278-83d9-005c-57b5a88c2618";"Pasta integral";350;12;72;1.5;"g";"2026-05-27T17:10:39.801Z"
